id,strategy,INST,EN_TIME,EN_TT,EN_Q,EN_PRICE,EX_TIME,EX_TT,EX_Q,EX_PRICE,P&L,P&L%,pnl_cumulative_absolute,pnl_cumulative_percentage,Equity Curve,Drawdown %
1672804,870,NSE_FO:BANKNIFTY2452248100CE,17-05-2024 15:00,1,15,274.75,17-05-2024 15:10,0,15,274.75,0,0,83357.9,50.52,248357.9,-15.04
1672803,870,NSE_FO:BANKNIFTY2452248100PE,17-05-2024 13:45,1,15,356.25,17-05-2024 15:00,0,15,317,588.75,11.02,83357.9,50.52,248357.9,-15.04
1672802,870,NSE_FO:BANKNIFTY2452248100CE,17-05-2024 13:30,1,15,275,17-05-2024 13:45,0,15,267.75,108.75,2.64,82769.15,50.16,247769.15,-15.24
1672801,870,NSE_FO:BANKNIFTY2452248100PE,17-05-2024 13:00,1,15,343.1,17-05-2024 13:30,0,15,360.45,-260.25,-5.06,82660.4,50.1,247660.4,-15.28
1672800,870,NSE_FO:BANKNIFTY2452248100CE,17-05-2024 11:30,1,15,310.85,17-05-2024 13:00,0,15,293.2,264.75,5.68,82920.65,50.25,247920.65,-15.19
1672798,870,NSE_FO:BANKNIFTY2452248100PE,17-05-2024 10:30,1,15,357.55,17-05-2024 11:30,0,15,360.8,-48.75,-0.91,82655.9,50.09,247655.9,-15.28
1672178,870,NSE_FO:BANKNIFTY2452247800CE,16-05-2024 09:45,1,15,410.75,16-05-2024 11:15,0,15,277.42,1999.95,32.46,82704.65,50.12,247704.65,-15.27
1671514,870,NSE_FO:BANKNIFTY2451547600PE,15-05-2024 13:45,1,15,86.2,15-05-2024 15:10,0,15,6.8,1191,92.11,80704.7,48.91,245704.7,-15.95
1671511,870,NSE_FO:BANKNIFTY2451547600CE,15-05-2024 12:45,1,15,78.3,15-05-2024 13:45,0,15,39.8,577.5,49.17,79513.7,48.19,244513.7,-16.36
1671506,870,NSE_FO:BANKNIFTY2451547700PE,15-05-2024 12:00,1,15,112.65,15-05-2024 12:45,0,15,129.7,-255.75,-15.14,78936.2,47.84,243936.2,-16.56
1671503,870,NSE_FO:BANKNIFTY2451547600CE,15-05-2024 11:45,1,15,90.5,15-05-2024 12:00,0,15,118.55,-420.75,-30.99,79191.95,48,244191.95,-16.47
1671501,870,NSE_FO:BANKNIFTY2451547700PE,15-05-2024 11:00,1,15,112.45,15-05-2024 11:45,0,15,159.2,-701.25,-41.57,79612.7,48.25,244612.7,-16.32
1671497,870,NSE_FO:BANKNIFTY2451547900CE,15-05-2024 09:45,1,15,100.5,15-05-2024 11:00,0,15,34.65,987.75,65.52,80313.95,48.68,245313.95,-16.08
1670975,870,NSE_FO:BANKNIFTY2451547900PE,14-05-2024 14:15,1,15,212.6,14-05-2024 14:30,0,15,284.83,-1083.45,-33.97,79326.2,48.08,244326.2,-16.42
1670972,870,NSE_FO:BANKNIFTY2451547800CE,14-05-2024 13:30,1,15,240.25,14-05-2024 14:15,0,15,235,78.75,2.19,80409.65,48.73,245409.65,-16.05
1670967,870,NSE_FO:BANKNIFTY2451547900PE,14-05-2024 13:00,1,15,195.8,14-05-2024 13:30,0,15,223.85,-420.75,-14.33,80330.9,48.69,245330.9,-16.08
1670965,870,NSE_FO:BANKNIFTY2451547800CE,14-05-2024 12:45,1,15,213.5,14-05-2024 13:00,0,15,286,-1087.5,-33.96,80751.65,48.94,245751.65,-15.93
1670964,870,NSE_FO:BANKNIFTY2451547800PE,14-05-2024 12:30,1,15,209.15,14-05-2024 12:45,0,15,209.05,1.5,0.05,81839.15,49.6,246839.15,-15.56
1670962,870,NSE_FO:BANKNIFTY2451547800CE,14-05-2024 12:00,1,15,218.25,14-05-2024 12:30,0,15,216.15,31.5,0.96,81837.65,49.6,246837.65,-15.56
1670959,870,NSE_FO:BANKNIFTY2451547800PE,14-05-2024 10:30,1,15,253.9,14-05-2024 12:00,0,15,221.9,480,12.6,81806.15,49.58,246806.15,-15.57
1670385,870,NSE_FO:BANKNIFTY2451547100PE,13-05-2024 10:30,1,15,312.7,13-05-2024 11:15,0,15,278.72,509.7,10.87,81326.15,49.29,246326.15,-15.74
